"Population 1. January by country of origin and time"

" ","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Denmark",4969107,4968337,4962190,4957936,4952311,4947182,4942358,4938233,4933048,4925675,4920838,4920267,4922885,4927242,4930573,4937259,4942304,4944829,4947827,4950155,4951858,4953265,4953023,4952818,4955604,4959310,4964224,4969384,4977829,4985415,4992000,4998111,5000055,5001954,5001165,5002242,5003378,5007197,5010793,5012480,5015594,5022607,5026379,5021755
"Albania",4,4,4,4,4,4,3,3,3,3,3,5,5,6,11,23,36,37,60,76,90,100,127,144,154,194,206,224,246,264,284,307,327,359,397,435,477,519,592,691,761,805,888,1108
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,2,0,0,0,1,2,1,1,2,2,2,1,1,1,2,5,9
"Belarus",0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,43,62,59,73,104,145,204,262,308,339,381,417,452,488,561,591,628,658,668,697,722,765,779,797,855,889,913,981,1108
"Belgium",534,550,528,541,525,526,523,551,530,539,570,576,584,608,615,637,695,707,743,786,782,784,805,831,831,853,862,909,911,972,975,1012,1060,1156,1179,1200,1256,1411,1477,1533,1577,1570,1719,1892
"Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,0,0,0,25,69,119,15714,17740,19130,19480,19727,19987,20328,20618,20973,20875,20952,21106,21846,22093,22221,22338,22345,22404,22544,22697,22809,22957,23137,23225,23203,23243,23307,23314
"Bulgaria",119,119,121,122,127,132,141,152,169,184,207,257,350,374,401,412,444,459,511,551,594,636,683,747,799,863,900,936,1192,1895,2685,3555,4364,5353,6395,7516,8476,9266,9955,10585,10912,11360,12468,13485
"Cyprus",100,98,100,100,102,99,96,106,120,121,128,121,127,117,122,132,132,136,142,140,139,137,137,133,128,131,131,126,132,131,136,138,139,150,162,177,195,208,213,229,230,233,255,279
"GDR",852,864,931,933,937,931,935,944,937,936,950,929,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estonia",0,0,0,0,0,0,0,0,0,0,0,8,47,113,150,148,208,295,409,440,430,483,533,578,584,597,678,757,894,1029,1064,1193,1288,1449,1530,1532,1562,1612,1606,1582,1553,1550,1542,1641
"Finland",4054,3976,3902,3860,3780,3779,3733,3750,3722,3712,3703,3729,3763,3793,3789,3922,3916,3916,3907,3889,3915,3843,3827,3812,3779,3733,3717,3747,3687,3747,3690,3661,3645,3658,3705,3811,3955,4007,4153,4190,4156,4101,4103,4134
"France",2130,2103,2079,2077,2085,2157,2146,2213,2290,2317,2367,2445,2561,2662,2700,2829,2939,3126,3344,3586,3607,3679,3606,3600,3778,3860,4064,4382,4666,4992,5081,5448,5512,5777,5860,5820,6195,6565,6812,7189,7335,7339,7852,8372
"Greece",686,691,705,678,651,655,644,671,697,760,794,777,819,831,850,871,904,926,930,946,946,945,952,939,954,960,1006,1053,1043,1116,1192,1259,1442,1732,2032,2254,2531,2844,3098,3401,3554,3686,3991,4426
"Ireland",888,807,768,749,737,788,841,924,995,978,976,1013,1020,1018,1024,1063,1065,1106,1138,1150,1131,1129,1138,1169,1191,1192,1237,1260,1259,1312,1306,1350,1385,1457,1474,1544,1676,1696,1860,2072,1968,1913,2044,2252
"Iceland",3155,3248,3263,3226,3389,3481,3669,3777,3541,3406,3413,3396,3345,3310,3476,4007,5091,5883,6113,6094,6011,6082,6206,6764,7293,7617,7827,8165,8411,8632,8967,9068,8725,8546,8285,8335,8720,8983,9051,9169,9308,9254,9295,9457
"Italy",1815,1852,1780,1808,1891,2064,2113,2266,2321,2226,2275,2330,2260,2332,2418,2521,2645,2796,2916,2961,3003,3110,3198,3236,3255,3320,3424,3699,3988,4331,4469,4775,5012,5554,6167,6854,7715,8463,8893,9273,9544,9796,10669,11661
"Yugoslavia",7452,7707,7833,7797,7905,8159,8533,9024,9535,9992,10504,11141,11950,12450,12776,13006,14029,16367,16612,16963,17176,17420,17602,17696,17748,17528,17415,17207,17372,17141,16959,16745,16549,16281,15777,15466,15307,15090,14912,14671,14383,14196,13884,13538
"Yugoslavia, Federal Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,96,216,570,1077,1718,2097,2086,1994,2019,2016,2140,2149,2135,2150,2122,2079,1976,1932,1882,1836,1811,1791,1689,1652,1589,1517
"Kosovo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,660,908,1085,1357,1872,2195,2435,2738,3004,3206,3446,3628,3836,4061
"Croatia",0,0,0,0,0,0,0,0,0,0,0,0,0,124,189,256,487,543,610,637,687,719,749,747,761,787,789,806,830,851,871,907,915,938,1030,1300,1629,1926,2175,2453,2693,2828,3173,3405
"Latvia",0,0,0,0,0,0,0,0,0,0,0,18,56,107,163,201,224,348,504,572,627,812,933,999,1007,1055,1203,1403,1673,2035,2691,3428,4057,4419,4739,4941,5191,5445,5666,5864,5915,5967,6368,6749
"Liechtenstein",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,1,1,1,2,2,3,7,8,8,7,7,4,3,5,3,4,4,6,11,11,13,9,10,11
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,14,68,93,139,184,249,394,588,764,926,1274,1554,1707,1786,2089,2527,3098,3643,4495,5443,6745,7946,8985,9928,10731,11778,12714,13894,14939,15134,15225,15975,16429
"Luxembourg",10,10,14,16,13,15,14,14,18,19,13,14,15,18,23,27,28,33,34,33,40,50,53,61,70,77,80,88,76,86,83,92,97,98,106,110,130,149,157,168,172,195,218,232
"Malta",48,49,49,49,46,44,44,50,48,49,47,45,46,48,48,47,45,44,51,55,52,48,45,46,47,52,57,63,60,68,75,78,73,73,73,85,90,88,100,104,110,112,122,118
"Moldova",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,22,38,49,62,90,124,140,156,168,193,215,231,285,317,341,383,433,481,539,642,776,951,1084,1335,1541,1918,2344
"Monaco",1,1,1,1,1,2,3,2,1,2,2,2,2,3,4,4,4,3,3,3,2,2,2,1,1,4,5,2,3,4,6,5,5,6,8,8,6,11,13,14,13,12,18,17
"Montenegro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,35,64,97,116,149,190,281,341,377,403,436,461,545,576,623,684
"Netherlands",1901,1913,1879,1912,1998,2052,2099,2190,2231,2291,2421,2525,2633,2778,3028,3346,3715,3987,4262,4500,4685,4955,5185,5355,5464,5697,5847,6102,6207,6324,6422,6530,6691,6866,6968,7063,7456,7721,7898,8161,8147,8100,8524,8918
"Northern Ireland",31,29,38,30,25,36,37,47,43,42,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Republic of North Macedonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,142,410,622,914,1232,1646,1941,2217,2454,2646,2867,3007,3158,3349,3562,3714,3895,4035,4215,4454,4707,4898,5116,5392,5608,5878,5990,6182,6470
"Norway",13872,13697,13386,13312,13112,13044,12984,12957,12909,12965,13116,13144,13190,13223,13237,13447,13605,13929,14177,14405,14647,14915,14999,15241,15488,15671,15744,15941,15674,15956,16067,16141,16320,16327,16411,16632,17090,17348,17358,17337,17350,17305,17393,17507
"Poland",6467,6411,6425,6590,6585,6725,7481,7991,8580,9182,9662,10087,10457,10798,11079,11263,11464,11694,11888,12106,12290,12385,12624,12805,13025,13509,14680,17022,21052,27198,28401,29864,31720,34005,36518,39465,42500,44926,46900,48148,48473,49103,51720,54825
"Portugal",339,344,349,360,372,385,386,398,419,440,447,475,484,489,513,534,551,568,588,610,618,647,662,671,682,702,730,810,932,1035,1086,1156,1227,1388,1563,1870,2383,2467,2630,2806,2970,3069,3486,3789
"Romania",220,229,250,263,272,285,340,376,417,451,782,1026,1185,1286,1372,1453,1532,1622,1714,1794,1934,2067,2223,2381,2495,2607,2795,2933,3676,5080,6446,8339,10862,13798,16840,20226,23823,26722,29257,32049,33591,34960,39363,44176
"Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,238,532,765,932,1224,1413,1603,1959,2300,2722,3009,3280,3585,3907,4040,4383,4753,5039,5276,5625,5897,6321,6640,6975,7165,7375,7497,7721,7902,8109,9497
"San Marino",2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,2,2,2,1,3,3,2,6
"Switzerland",1325,1289,1290,1262,1239,1258,1234,1212,1191,1188,1193,1176,1179,1184,1201,1208,1230,1272,1308,1326,1324,1328,1344,1349,1352,1383,1430,1494,1509,1567,1559,1585,1559,1555,1572,1633,1679,1754,1748,1758,1739,1769,1875,1909
