"Population by country of birth and year"

"country of birth","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Afghanistan",4287,5211,6122,7017,7830,8345,9872,10605,11446,12745,14420,17489,21484,25144,28443,31267,34754,43991,51979,58780,60858,62803,65662
"Albania",374,418,477,538,599,691,846,928,1019,1138,1281,1409,1620,1823,2114,2569,3219,4287,5583,7011,7908,8686,9738
"Algeria",1681,1742,1791,1834,1896,1992,2119,2216,2333,2471,2575,2660,2775,2841,2938,3022,3136,3245,3366,3471,3518,3555,3617
"Andorra",1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,5,5,4,5,6,7,5,7
"Angola",433,453,484,511,536,552,635,661,679,708,716,717,730,737,742,742,757,772,792,814,828,836,838
"Antigua and Barbuda",6,6,7,8,8,8,7,7,8,9,9,9,6,8,8,8,8,6,6,6,6,7,7
"Argentina",2435,2492,2592,2657,2681,2712,2723,2712,2762,2833,2868,2916,2963,3048,3114,3152,3209,3271,3417,3645,3842,4130,4384
"Armenia",341,415,504,586,674,796,1062,1209,1337,1508,1672,1882,2107,2294,2465,2674,2820,2996,3154,3282,3367,3521,3606
"Australia",2240,2387,2434,2525,2594,2657,2706,2793,2935,3158,3369,3510,3554,3708,3857,3988,4266,4557,4818,4962,5033,5102,5270
"Austria",6021,6011,5982,5967,5899,5866,5819,5825,5898,5891,5829,5779,5788,5760,5805,5772,5797,5806,5755,5690,5608,5617,5759
"Azerbaijan",189,239,277,357,507,713,1538,1662,1759,1905,2107,2309,2495,2665,2819,2935,3132,3279,3447,3676,3865,4067,4222
"Bahamas",16,18,19,21,22,26,23,25,25,27,27,27,31,26,29,30,33,34,35,36,38,37,38
"Bahrain",54,56,60,50,54,54,59,61,65,69,70,78,80,88,87,88,97,102,111,119,137,145,148
"Bangladesh",2937,3052,3195,3391,3593,3924,4199,4487,4875,5500,6289,6530,6716,6890,7149,7363,7799,8654,10009,11520,12279,12965,13904
"Barbados",101,109,108,106,107,107,109,110,116,116,115,116,118,114,110,113,114,116,117,120,124,129,131
"Belarus",449,578,709,860,988,1099,1346,1504,1648,1873,2049,2250,2432,2581,2724,2833,2991,3139,3324,3520,3677,3871,4113
